record_type,timestamp_local,outcome,tmdb_title_key,display_title,fetch_summary_head,app_streaming_context,raw_title_context,notes
tmdb_quality,2026-08-24 02:30:32,SUCCESS,Top Gun_ Maverick,Top Gun: Maverick,Top Gun_ Maverick,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Top Gun: Maverick"" raw_query=""Top Gun: Maverick"" layer_series_title=""Top Gun: Maverick""",
tmdb_quality,2026-08-24 02:32:12,SUCCESS,Top Gun_ Maverick,Top Gun: Maverick,Top Gun_ Maverick,"streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""",(no last_metadata dict),
tmdb_quality,2026-08-24 02:35:35,SUCCESS,Top Gun_ Maverick,Top Gun: Maverick,Top Gun_ Maverick,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Top Gun: Maverick"" raw_query=""Top Gun: Maverick"" layer_series_title=""Top Gun: Maverick""",
tmdb_quality,2026-08-24 02:38:37,SUCCESS,Top Gun_ Maverick,Top Gun: Maverick,Top Gun_ Maverick,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Top Gun: Maverick"" raw_query=""Top Gun: Maverick"" layer_series_title=""Top Gun: Maverick""",
tmdb_quality,2026-08-24 02:42:37,SUCCESS,Top Gun_ Maverick,Top Gun: Maverick,Top Gun_ Maverick,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Top Gun: Maverick"" raw_query=""Top Gun: Maverick"" layer_series_title=""Top Gun: Maverick""",
tmdb_quality,2026-08-24 02:59:33,SUCCESS,This Is Spinal Tap,This Is Spinal Tap,This Is Spinal Tap,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""This Is Spinal Tap"" raw_query=""This Is Spinal Tap"" layer_series_title=""This Is Spinal Tap""",
tmdb_quality,2026-08-24 03:01:30,SUCCESS,This Is Spinal Tap,This Is Spinal Tap,This Is Spinal Tap,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""This Is Spinal Tap"" raw_query=""This Is Spinal Tap"" layer_series_title=""This Is Spinal Tap""",
tmdb_quality,2026-08-24 03:02:52,SUCCESS,This Is Spinal Tap,This Is Spinal Tap,This Is Spinal Tap,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""This Is Spinal Tap"" raw_query=""This Is Spinal Tap"" layer_series_title=""This Is Spinal Tap""",
tmdb_quality,2026-08-24 03:10:38,SUCCESS,This Is Spinal Tap,This Is Spinal Tap,This Is Spinal Tap,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""This Is Spinal Tap"" raw_query=""This Is Spinal Tap"" layer_series_title=""This Is Spinal Tap""",
tmdb_quality,2026-08-24 16:46:13,SUCCESS,Coco,Coco,Coco,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Coco"" raw_query=""Coco"" layer_series_title=""Coco""",
tmdb_quality,2026-08-28 23:51:47,SUCCESS,The Drama,The Drama,The Drama,"app_name=""HBO Max"" app_id=""com.wbd.stream"" streaming_service_label=""Max"" streaming_service_badge=""App logos/AppLogo_HBOMax.png""","raw_query=""The Drama""",
tmdb_quality,2026-08-29 01:56:43,SUCCESS,Abbott Elementary,Abbott Elementary,Abbott Elementary,"app_name=""HBO Max"" app_id=""com.wbd.stream"" streaming_service_label=""Max"" streaming_service_badge=""App logos/AppLogo_HBOMax.png""","raw_title=""Ringworm"" raw_query=""Abbott Elementary"" layer_series_title=""Ringworm""",
tmdb_quality,2026-08-29 12:35:57,SUCCESS,Zootopia,Zootopia,Zootopia,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Zootopia"" raw_query=""Zootopia"" layer_series_title=""Zootopia""",
tmdb_quality,2026-08-29 20:04:54,SUCCESS,Austin Powers in Goldmember,Austin Powers in Goldmember,Austin Powers in Goldmember,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Austin Powers: International Man of Mystery"" raw_query=""Austin Powers"" layer_series_title=""Austin Powers: International Man of Mystery""",
tmdb_quality,2026-08-29 20:22:20,SUCCESS,Diary of a Wimpy Kid,Diary of a Wimpy Kid,Diary of a Wimpy Kid,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Diary of a Wimpy Kid: Rodrick Rules"" raw_query=""Diary of a Wimpy Kid"" layer_series_title=""Diary of a Wimpy Kid: Rodrick Rules""",
tmdb_quality,2026-09-07 23:09:54,SUCCESS,Cats,Cats (2019),Cats,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Cats (2019)"" raw_query=""Cats (2019)"" layer_series_title=""Cats (2019)""",
tmdb_quality,2026-09-07 23:10:10,SUCCESS,Fall,Fall,Fall,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Fall"" raw_query=""Fall"" layer_series_title=""Fall""",
tmdb_quality,2026-09-07 23:10:33,SUCCESS,"Good Luck, Have Fun, Don't Die","Good Luck, Have Fun, Don't Die","Good Luck, Have Fun, Don't Die","app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Good Luck, Have Fun, Don't Die"" raw_query=""Good Luck, Have Fun, Don't Die"" layer_series_title=""Good Luck, Have Fun, Don't Die""",
tmdb_quality,2026-09-07 23:11:56,SUCCESS,Mamma Mia!,Mamma Mia! The Movie,Mamma Mia!,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Mamma Mia! The Movie"" raw_query=""Mamma Mia! The Movie"" layer_series_title=""Mamma Mia! The Movie""",
tmdb_quality,2026-09-07 23:12:18,SUCCESS,The Lord of the Rings,The Lord of the Rings,The Lord of the Rings,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""The Lord of the Rings: The Two Towers (Extended Edition)"" raw_query=""The Lord of the Rings"" layer_series_title=""The Lord of the Rings: The Two Towers (Extended Edition)""",
tmdb_quality,2026-09-07 23:12:48,SUCCESS,Now You See Me 2,Now You See Me 2,Now You See Me 2,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Now You See Me 2"" raw_query=""Now You See Me 2"" layer_series_title=""Now You See Me 2""",
tmdb_quality,2026-09-07 23:13:06,SUCCESS,Ready Player One,Ready Player One,Ready Player One,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Ready Player One"" raw_query=""Ready Player One"" layer_series_title=""Ready Player One""",
tmdb_quality,2026-09-07 23:13:43,SUCCESS,Sinners,Sinners,Sinners,"app_name=""TV"" app_id=""com.apple.TVWatchList"" streaming_service_label=""Apple TV"" streaming_service_badge=""App logos/AppLogo_AppleTV.png""","raw_title=""Sinners"" raw_query=""Sinners"" layer_series_title=""Sinners""",
tmdb_quality,2026-09-07 23:18:19,SUCCESS,Obsession,Obsession,Obsession,"app_name=""Peacock"" app_id=""com.peacocktv.peacock"" streaming_service_label=""Peacock"" streaming_service_badge=""App logos/AppLogo_Peacock.png""","raw_title=""Obsession"" raw_query=""Obsession"" layer_series_title=""Obsession""",
tmdb_quality,2026-09-08 09:48:36,SUCCESS,Taylor Swift _ The Eras Tour _ The Final Show,Taylor Swift | The Eras Tour | The Final Show,Taylor Swift _ The Eras Tour _ The Final Show,"app_name=""Disney+"" app_id=""com.disney.disneyplus"" streaming_service_label=""Disney+"" streaming_service_badge=""App logos/AppLogo_DisneyPlus.png""","raw_title=""Taylor Swift | The Eras Tour | The Final Show"" raw_query=""Taylor Swift | The Eras Tour | The Final Show"" layer_series_title=""Taylor Swift | The Eras Tour | The Final Show""",
